Portfolio,Return,Volatility,Sharpe Ratio
Equal Weight,0.09658493000318087,0.1297452232107841,0.7444199301755332
Highest Sharpe,0.18988918502260166,0.11108062240347555,3.9307381137554342
Lowest Volatility,0.1269500769802232,0.1018105770126079,2.7895638785001555
Highest Return,0.21630686670895982,0.16297970330577316,3.1493838690504683
